date,network,field,value
2026-04-16,youtube,engagement_rate_day,1.7
2026-04-16,youtube,reactions_day,369.0
2026-04-16,youtube,referrals_day,8.0
2026-04-16,youtube,subscribers,90733.0
2026-04-16,youtube,views_day,21751.0
2026-04-17,instagram,content_day,0.0
2026-04-17,instagram,engagement_rate_day,4.53
2026-04-17,instagram,reactions_day,175.0
2026-04-17,instagram,referrals_day,0.0
2026-04-17,instagram,subscribers,20191.0
2026-04-17,telegram,content_day,1.0
2026-04-17,telegram,engagement_rate_day,0.67
2026-04-17,telegram,referrals_day,40.0
2026-04-17,telegram,subscribers,13121.0
2026-04-17,telegram,views_day,6229.0
2026-04-17,vk,content_day,1.0
2026-04-17,vk,engagement_rate_day,6.01
2026-04-17,vk,referrals_day,5.0
2026-04-17,vk,subscribers,23007.0
2026-04-17,youtube,content_day,0.0
2026-04-17,youtube,engagement_rate_day,1.25
2026-04-17,youtube,reactions_day,361.0
2026-04-17,youtube,referrals_day,12.0
2026-04-17,youtube,subscribers,90742.0
2026-04-17,youtube,views_day,28901.0
2026-04-18,instagram,content_day,1.0
2026-04-18,instagram,engagement_rate_day,5.1
2026-04-18,instagram,reactions_day,84.0
2026-04-18,instagram,referrals_day,4.0
2026-04-18,instagram,subscribers,20202.0
2026-04-18,telegram,content_day,1.0
2026-04-18,telegram,engagement_rate_day,0.64
2026-04-18,telegram,referrals_day,33.0
2026-04-18,telegram,subscribers,13124.0
2026-04-18,telegram,views_day,3905.0
2026-04-18,vk,content_day,2.0
2026-04-18,vk,engagement_rate_day,4.45
2026-04-18,vk,referrals_day,6.0
2026-04-18,vk,subscribers,23013.0
2026-04-18,youtube,content_day,1.0
2026-04-18,youtube,engagement_rate_day,1.22
2026-04-18,youtube,reactions_day,427.0
2026-04-18,youtube,referrals_day,19.0
2026-04-18,youtube,subscribers,90752.0
2026-04-18,youtube,views_day,34891.0
2026-04-19,instagram,content_day,1.0
2026-04-19,instagram,engagement_rate_day,3.15
2026-04-19,instagram,reactions_day,60.0
2026-04-19,instagram,referrals_day,7.0
2026-04-19,instagram,subscribers,20209.0
2026-04-19,telegram,content_day,2.0
2026-04-19,telegram,engagement_rate_day,0.49
2026-04-19,telegram,referrals_day,30.0
2026-04-19,telegram,subscribers,13120.0
2026-04-19,telegram,views_day,3900.0
2026-04-19,vk,content_day,2.0
2026-04-19,vk,engagement_rate_day,3.77
2026-04-19,vk,referrals_day,7.0
2026-04-19,vk,subscribers,23020.0
2026-04-19,youtube,content_day,1.0
2026-04-19,youtube,engagement_rate_day,1.26
2026-04-19,youtube,reactions_day,610.0
2026-04-19,youtube,referrals_day,18.0
2026-04-19,youtube,subscribers,90766.0
2026-04-19,youtube,views_day,48553.0
2026-04-20,instagram,content_day,0.0
2026-04-20,instagram,engagement_rate_day,4.01
2026-04-20,instagram,reactions_day,51.0
2026-04-20,instagram,referrals_day,2.0
2026-04-20,instagram,subscribers,20211.0
2026-04-20,telegram,content_day,4.0
2026-04-20,telegram,engagement_rate_day,0.26
2026-04-20,telegram,referrals_day,8.0
2026-04-20,telegram,subscribers,13133.0
2026-04-20,telegram,views_day,10864.0
2026-04-20,vk,content_day,1.0
2026-04-20,vk,engagement_rate_day,3.22
2026-04-20,vk,referrals_day,0.0
2026-04-20,vk,subscribers,23026.0
2026-04-20,youtube,content_day,0.0
2026-04-20,youtube,engagement_rate_day,1.22
2026-04-20,youtube,reactions_day,424.0
2026-04-20,youtube,referrals_day,11.0
2026-04-20,youtube,subscribers,90780.0
2026-04-20,youtube,views_day,34768.0
2026-04-21,instagram,content_day,2.0
2026-04-21,instagram,engagement_rate_day,3.64
2026-04-21,instagram,reactions_day,86.0
2026-04-21,instagram,referrals_day,5.0
2026-04-21,instagram,subscribers,20208.0
2026-04-21,telegram,content_day,2.0
2026-04-21,telegram,engagement_rate_day,0.44
2026-04-21,telegram,referrals_day,21.0
2026-04-21,telegram,subscribers,13130.0
2026-04-21,telegram,views_day,6191.0
2026-04-21,vk,content_day,3.0
2026-04-21,vk,engagement_rate_day,9.72
2026-04-21,vk,referrals_day,5.0
2026-04-21,vk,subscribers,23027.0
2026-04-21,youtube,content_day,2.0
2026-04-21,youtube,engagement_rate_day,1.22
2026-04-21,youtube,reactions_day,888.0
2026-04-21,youtube,referrals_day,53.0
2026-04-21,youtube,subscribers,90796.0
2026-04-21,youtube,views_day,72873.0
2026-04-22,instagram,content_day,1.0
2026-04-22,instagram,engagement_rate_day,4.41
2026-04-22,instagram,reactions_day,94.0
2026-04-22,instagram,referrals_day,21.0
2026-04-22,instagram,subscribers,20209.0
2026-04-22,telegram,content_day,1.0
2026-04-22,telegram,engagement_rate_day,0.88
2026-04-22,telegram,referrals_day,87.0
2026-04-22,telegram,subscribers,13130.0
2026-04-22,telegram,views_day,4896.0
2026-04-22,vk,content_day,1.0
2026-04-22,vk,engagement_rate_day,4.13
2026-04-22,vk,referrals_day,19.0
2026-04-22,vk,subscribers,23031.0
2026-04-22,youtube,content_day,0.0
2026-04-22,youtube,engagement_rate_day,1.19
2026-04-22,youtube,reactions_day,449.0
2026-04-22,youtube,referrals_day,32.0
2026-04-22,youtube,subscribers,90795.0
2026-04-22,youtube,views_day,37872.0
2026-04-23,instagram,content_day,6.0
2026-04-23,instagram,engagement_rate_day,4.82
2026-04-23,instagram,reactions_day,228.0
2026-04-23,instagram,referrals_day,0.0
2026-04-23,instagram,subscribers,20213.0
2026-04-23,telegram,content_day,10.0
2026-04-23,telegram,engagement_rate_day,0.15
2026-04-23,telegram,referrals_day,201.0
2026-04-23,telegram,subscribers,13157.0
2026-04-23,telegram,views_day,21673.0
2026-04-23,vk,content_day,6.0
2026-04-23,vk,engagement_rate_day,6.05
2026-04-23,vk,referrals_day,13.0
2026-04-23,vk,subscribers,23030.0
2026-04-23,youtube,content_day,1.0
2026-04-23,youtube,engagement_rate_day,1.3
2026-04-23,youtube,reactions_day,806.0
2026-04-23,youtube,referrals_day,25.0
2026-04-23,youtube,subscribers,90817.0
2026-04-23,youtube,views_day,62142.0
2026-04-24,instagram,content_day,1.0
2026-04-24,instagram,engagement_rate_day,4.4
2026-04-24,instagram,reactions_day,188.0
2026-04-24,instagram,referrals_day,1.0
2026-04-24,instagram,subscribers,20215.0
2026-04-24,telegram,content_day,0.0
2026-04-24,telegram,referrals_day,60.0
2026-04-24,telegram,subscribers,13231.0
2026-04-24,telegram,views_day,3838.0
2026-04-24,vk,content_day,1.0
2026-04-24,vk,engagement_rate_day,5.13
2026-04-24,vk,referrals_day,29.0
2026-04-24,vk,subscribers,22996.0
2026-04-24,youtube,content_day,0.0
2026-04-24,youtube,engagement_rate_day,1.44
2026-04-24,youtube,reactions_day,653.0
2026-04-24,youtube,referrals_day,18.0
2026-04-24,youtube,subscribers,90835.0
2026-04-24,youtube,views_day,45385.0
2026-04-25,instagram,content_day,0.0
2026-04-25,instagram,engagement_rate_day,3.61
2026-04-25,instagram,reactions_day,52.0
2026-04-25,instagram,referrals_day,5.0
2026-04-25,instagram,subscribers,20221.0
2026-04-25,telegram,content_day,0.0
2026-04-25,telegram,referrals_day,29.0
2026-04-25,telegram,subscribers,13229.0
2026-04-25,telegram,views_day,2042.0
2026-04-25,vk,content_day,1.0
2026-04-25,vk,engagement_rate_day,2.33
2026-04-25,vk,referrals_day,14.0
2026-04-25,vk,subscribers,23001.0
2026-04-25,youtube,content_day,1.0
2026-04-25,youtube,engagement_rate_day,1.15
2026-04-25,youtube,reactions_day,1019.0
2026-04-25,youtube,referrals_day,30.0
2026-04-25,youtube,subscribers,90858.0
2026-04-25,youtube,views_day,88739.0
2026-04-26,instagram,content_day,1.0
2026-04-26,instagram,engagement_rate_day,4.28
2026-04-26,instagram,reactions_day,176.0
2026-04-26,instagram,referrals_day,1.0
2026-04-26,instagram,subscribers,20222.0
2026-04-26,telegram,content_day,2.0
2026-04-26,telegram,engagement_rate_day,0.55
2026-04-26,telegram,referrals_day,14.0
2026-04-26,telegram,subscribers,13224.0
2026-04-26,telegram,views_day,5492.0
2026-04-26,vk,content_day,3.0
2026-04-26,vk,engagement_rate_day,5.77
2026-04-26,vk,referrals_day,4.0
2026-04-26,vk,subscribers,23005.0
2026-04-26,youtube,content_day,2.0
2026-04-26,youtube,engagement_rate_day,1.06
2026-04-26,youtube,reactions_day,1347.0
2026-04-26,youtube,referrals_day,7.0
2026-04-26,youtube,subscribers,90895.0
2026-04-26,youtube,views_day,126905.0
2026-04-27,instagram,content_day,0.0
2026-04-27,instagram,engagement_rate_day,5.35
2026-04-27,instagram,reactions_day,65.0
2026-04-27,instagram,referrals_day,2.0
2026-04-27,instagram,subscribers,20222.0
2026-04-27,telegram,content_day,2.0
2026-04-27,telegram,engagement_rate_day,0.29
2026-04-27,telegram,referrals_day,27.0
2026-04-27,telegram,subscribers,13210.0
2026-04-27,telegram,views_day,10092.0
2026-04-27,vk,content_day,2.0
2026-04-27,vk,engagement_rate_day,6.13
2026-04-27,vk,referrals_day,3.0
2026-04-27,vk,subscribers,23010.0
2026-04-27,youtube,content_day,0.0
2026-04-27,youtube,engagement_rate_day,1.37
2026-04-27,youtube,reactions_day,833.0
2026-04-27,youtube,referrals_day,20.0
2026-04-27,youtube,subscribers,90938.0
2026-04-27,youtube,views_day,60685.0
2026-04-28,instagram,content_day,2.0
2026-04-28,instagram,engagement_rate_day,4.59
2026-04-28,instagram,reactions_day,101.0
2026-04-28,instagram,referrals_day,6.0
2026-04-28,instagram,subscribers,20222.0
2026-04-28,telegram,content_day,1.0
2026-04-28,telegram,engagement_rate_day,0.74
2026-04-28,telegram,referrals_day,36.0
2026-04-28,telegram,subscribers,13201.0
2026-04-28,telegram,views_day,4203.0
2026-04-28,vk,content_day,2.0
2026-04-28,vk,engagement_rate_day,3.97
2026-04-28,vk,referrals_day,11.0
2026-04-28,vk,subscribers,23013.0
2026-04-28,youtube,content_day,1.0
2026-04-28,youtube,engagement_rate_day,1.38
2026-04-28,youtube,reactions_day,502.0
2026-04-28,youtube,referrals_day,19.0
2026-04-28,youtube,subscribers,90957.0
2026-04-28,youtube,views_day,36280.0
2026-04-29,instagram,content_day,1.0
2026-04-29,instagram,engagement_rate_day,4.18
2026-04-29,instagram,reactions_day,89.0
2026-04-29,instagram,referrals_day,5.0
2026-04-29,instagram,subscribers,20217.0
2026-04-29,telegram,content_day,1.0
2026-04-29,telegram,engagement_rate_day,0.84
2026-04-29,telegram,referrals_day,15.0
2026-04-29,telegram,subscribers,13186.0
2026-04-29,telegram,views_day,4413.0
2026-04-29,vk,content_day,1.0
2026-04-29,vk,engagement_rate_day,3.18
2026-04-29,vk,referrals_day,11.0
2026-04-29,vk,subscribers,23018.0
2026-04-29,youtube,content_day,0.0
2026-04-29,youtube,engagement_rate_day,1.61
2026-04-29,youtube,reactions_day,992.0
2026-04-29,youtube,referrals_day,11.0
2026-04-29,youtube,subscribers,90977.0
2026-04-29,youtube,views_day,61703.0
2026-04-30,instagram,content_day,2.0
2026-04-30,instagram,engagement_rate_day,4.34
2026-04-30,instagram,reactions_day,71.0
2026-04-30,instagram,referrals_day,3.0
2026-04-30,instagram,subscribers,20213.0
2026-04-30,telegram,content_day,2.0
2026-04-30,telegram,engagement_rate_day,1.05
2026-04-30,telegram,referrals_day,77.0
2026-04-30,telegram,subscribers,13186.0
2026-04-30,telegram,views_day,5136.0
2026-04-30,vk,content_day,4.0
2026-04-30,vk,engagement_rate_day,2.96
2026-04-30,vk,referrals_day,20.0
2026-04-30,vk,subscribers,23019.0
